rechnungsnummer;anzahl_versionen;version;createdAt;aktualisiertAm;dokumentTyp;rechnungsStatus;bruttobetrag_eur;kundenname;kundennummer;projektId;docId;dateiId;dateiname;storno_zu;stornoGrund
RE-2026-0257;2;1;2026-03-19 09:49:05;2026-03-20 07:36:03;rechnung;storniert;3470,99;K.S.D Tennisplatzbau Garten- und Sportplatzbau GmbH;K10058;69b3a0950019a47e82fd;69bbc690003d59bb7877;69bbc69000266f50b75b;Rechnung TC Grün-Weiß Fulda - K.S.D Tennisplatzbau Garten- und Sportplatzbau GmbH 2026.pdf;;Falscher Preis
RE-2026-0257;2;2;2026-03-20 07:37:56;2026-03-20 07:37:56;rechnung;(kein Status);3352,59;K.S.D Tennisplatzbau Garten- und Sportplatzbau GmbH;K10058;69b3a0950019a47e82fd;69bcf954002ad6e671d8;69bcf9540015ff1ea05a;Rechnung TC Grün-Weiß Fulda - K.S.D Tennisplatzbau Garten- und Sportplatzbau GmbH 2026.pdf;;
RE-2026-0264;2;1;2026-03-19 11:50:31;2026-03-20 06:11:06;rechnung;storniert;2161,72;TC Rot-Gold Alzenau;352;6966ba5d0017f39ed6af;69bbe3070020b83dc3a9;69bbe30700083914791f;Rechnung Andreas Meinecke Tennisservice 2026.pdf;;"Fehlende Lieferadresse
"
RE-2026-0264;2;2;2026-03-20 06:12:42;2026-03-20 06:12:42;rechnung;(kein Status);2161,72;TC Rot-Gold Alzenau;352;6966ba5d0017f39ed6af;69bce55a001341924318;69bce5590038e531a18c;Rechnung TC Rot Gold Alzenau - Andreas Meinecke Tennisservice 2026.pdf;;
RE-2026-0306;2;1;2026-03-22 15:48:46;2026-03-26 09:47:59;rechnung;storniert;966,40;TSV 75 Eßfeld ;285;697c5764000c8fadda25;69c00f5e001ae46079e7;69c00f5d003b1d055824;Rechnung TSV 75 Eßfeld 2026.pdf;;Nachlass
RE-2026-0306;2;2;2026-03-26 09:48:22;2026-03-26 09:48:22;rechnung;(kein Status);818,84;TSV 75 Eßfeld ;285;697c5764000c8fadda25;69c500e60007144da296;69c500e4000385652d9f;Rechnung TSV 75 Eßfeld 2026.pdf;;
RE-2026-0322;2;1;2026-03-25 16:07:46;2026-03-26 05:31:32;rechnung;storniert;87,40;TSV Eintracht Rottenberg;489;69bbccd00034468a8988;69c408520007930c0e14;69c4084f0005843bf935;Rechnung TSV Eintracht Rottenberg 2026.pdf;;fehlerhafte Position erfasst
RE-2026-0322;2;2;2026-03-26 05:32:22;2026-03-26 05:32:22;rechnung;(kein Status);76,87;TSV Eintracht Rottenberg;489;69bbccd00034468a8988;69c4c4e60008ab08a04a;69c4c4e300188f48924d;Rechnung TSV Eintracht Rottenberg 2026.pdf;;
RE-2026-0330;2;1;2026-03-26 10:58:02;2026-03-26 11:03:45;rechnung;storniert;365,50;Würzburger Versorgungs-und Verkehrs-GmbH c/o Sportfreunde WVV e. V.;516;69c510fd001fc46560f1;69c5113a0016491b86c9;69c511370021f15e3f8e;Rechnung Würzburger Versorgungs-und Verkehrs-GmbH co Sportfreunde WVV e. V. 2026.pdf;;Versandkosten nicht Angeboten
RE-2026-0330;2;2;2026-03-26 11:04:10;2026-03-26 11:04:10;rechnung;(kein Status);350,00;Würzburger Versorgungs-und Verkehrs-GmbH c/o Sportfreunde WVV e. V.;516;69c510fd001fc46560f1;69c512aa0014bc197ebb;69c512a7001c4e527134;Rechnung Würzburger Versorgungs-und Verkehrs-GmbH co Sportfreunde WVV e. V. 2026.pdf;;
